,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature,a1_action_likelihood
0,C_001,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
1,C_003,action1,action2,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.6666666666666666
2,C_005,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
3,C_010,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
4,C_011,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
5,C_014,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
6,C_015,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
7,C_017,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
8,C_018,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.8333333333333334
9,C_019,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
10,C_020,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
11,C_021,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
12,C_022,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
13,C_023,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
14,C_024,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
15,C_025,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
16,C_026,action1,action2,1.0,-1.000000082690371e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,1.0
17,C_027,action2,action1,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0,0.33333333333333337
